ID_Client,Date_Transaction,Montant,Magasin,Categorie_Produit,Quantite,Mode_Paiement,Satisfaction_Client
1031,2024-12-01,360.51,Lyon,Électronique,1,PayPal,2
1766,2024-12-01,635.9,Bordeaux,Électronique,7,Carte bancaire,5
4764,2024-12-01,62.04,Lille,Électronique,6,Carte bancaire,4
1221,2024-12-01,187.49,Marseille,Meubles,9,Espèces,4
4931,2024-12-01,444.1,Lille,Électronique,8,Carte bancaire,4
4972,2024-12-01,369.17,Paris,Meubles,6,PayPal,5
3807,2024-12-01,403.8,Bordeaux,Électronique,6,Carte bancaire,5
2415,2024-12-01,807.69,Paris,Meubles,9,PayPal,2
4346,2024-12-01,888.61,Lyon,Électronique,4,Carte bancaire,2
1619,2024-12-01,263.7,Marseille,Vêtements,9,Carte bancaire,3
1264,2024-12-01,839.66,Lille,Électronique,8,Carte bancaire,3
872,2024-12-01,469.61,Lille,Électronique,3,Carte bancaire,3
835,2024-12-01,288.34,Paris,Électronique,4,PayPal,1
2823,2024-12-01,985.75,Lyon,Vêtements,7,PayPal,4
919,2024-12-01,828.31,Bordeaux,Électronique,3,Carte bancaire,5
1725,2024-12-01,994.37,Marseille,Meubles,3,PayPal,4
2414,2024-12-01,184.83,Paris,Électronique,8,PayPal,5
1314,2024-12-01,160.97,Lyon,Électronique,5,Carte bancaire,1
4499,2024-12-01,513.31,Bordeaux,Électronique,5,Carte bancaire,5
2106,2024-12-01,645.87,Marseille,Vêtements,8,PayPal,3
2569,2024-12-01,187.64,Lyon,Électronique,6,Espèces,4
1139,2024-12-01,863.22,Marseille,Électronique,5,PayPal,4
210,2024-12-01,541.37,Marseille,Vêtements,1,PayPal,4
1065,2024-12-01,422.72,Lille,Électronique,5,Espèces,1
4912,2024-12-01,610.01,Marseille,Vêtements,8,Carte bancaire,4
2221,2024-12-01,642.25,Lyon,Électronique,9,Espèces,2
234,2024-12-01,61.93,Bordeaux,Vêtements,6,Carte bancaire,3
793,2024-12-01,999.89,Paris,Meubles,3,PayPal,3
3111,2024-12-01,376.64,Lille,Électronique,8,Espèces,5
2167,2024-12-01,80.31,Marseille,Électronique,5,Carte bancaire,1
335,2024-12-01,855.28,Lille,Meubles,2,PayPal,5
1360,2024-12-01,993.16,Paris,Vêtements,1,Espèces,5
1215,2024-12-01,820.03,Marseille,Vêtements,8,Carte bancaire,3
4420,2024-12-01,854.84,Bordeaux,Vêtements,2,Carte bancaire,2
284,2024-12-01,633.42,Marseille,Électronique,3,PayPal,1
213,2024-12-01,923.88,Paris,Meubles,9,Carte bancaire,1
1659,2024-12-01,55.02,Paris,Vêtements,1,Carte bancaire,1
4079,2024-12-01,771.39,Marseille,Vêtements,8,Carte bancaire,2
4848,2024-12-01,677.3,Lyon,Meubles,2,Carte bancaire,1
1418,2024-12-01,68.59,Marseille,Vêtements,8,PayPal,4
2387,2024-12-01,553.09,Lyon,Vêtements,2,Carte bancaire,2
1795,2024-12-01,524.76,Bordeaux,Meubles,7,Carte bancaire,5
105,2024-12-01,697.7,Lyon,Électronique,3,Carte bancaire,4
4866,2024-12-01,95.98,Paris,Électronique,4,PayPal,5
3894,2024-12-01,809.17,Paris,Électronique,1,Carte bancaire,1
3846,2024-12-01,156.62,Marseille,Meubles,1,Carte bancaire,2
3691,2024-12-01,430.29,Lyon,Vêtements,8,Carte bancaire,4
3293,2024-12-01,883.66,Lyon,Électronique,8,Carte bancaire,2
379,2024-12-01,569.32,Bordeaux,Électronique,2,Carte bancaire,2
3294,2024-12-01,392.0,Lyon,Électronique,4,PayPal,2
3330,2024-12-01,67.24,Lille,Électronique,2,Carte bancaire,5
4809,2024-12-01,678.83,Lille,Meubles,8,PayPal,2
3439,2024-12-01,986.82,Paris,Vêtements,7,PayPal,1
225,2024-12-01,913.56,Bordeaux,Meubles,7,Carte bancaire,4
738,2024-12-01,722.95,Marseille,Vêtements,3,Carte bancaire,3
236,2024-12-01,123.19,Lyon,Vêtements,5,Carte bancaire,2
4279,2024-12-01,254.65,Marseille,Vêtements,1,Carte bancaire,4
712,2024-12-01,203.11,Bordeaux,Meubles,4,PayPal,5
1889,2024-12-01,368.35,Lille,Meubles,4,Carte bancaire,5
4719,2024-12-01,250.81,Marseille,Meubles,1,PayPal,2
1260,2024-12-01,259.55,Paris,Vêtements,7,Carte bancaire,2
749,2024-12-01,624.4,Marseille,Électronique,5,PayPal,1
3987,2024-12-01,332.33,Paris,Vêtements,1,Carte bancaire,3
3552,2024-12-01,683.62,Marseille,Électronique,5,PayPal,2
510,2024-12-01,948.93,Bordeaux,Électronique,8,Carte bancaire,2
1824,2024-12-01,645.71,Lyon,Électronique,8,Carte bancaire,1
4881,2024-12-01,756.62,Paris,Électronique,2,Carte bancaire,5
2942,2024-12-01,756.55,Marseille,Vêtements,1,PayPal,3
4233,2024-12-01,344.09,Lyon,Électronique,2,Carte bancaire,5
2135,2024-12-01,34.66,Paris,Vêtements,6,Carte bancaire,2
1778,2024-12-01,73.95,Marseille,Électronique,5,PayPal,3
